timestamp,acc_x,acc_y,acc_z
27.283189105,-0.0139,0.7580,0.5135
27.283517907,-0.0159,0.7615,0.5167
27.285433948,-0.0166,0.7646,0.5201
27.291527386,-0.0178,0.7671,0.5238
27.292245459,-0.0195,0.7703,0.5269
27.306739417,-0.0210,0.7727,0.5299
27.307985355,-0.0217,0.7766,0.5333
27.308466917,-0.0208,0.7822,0.5379
27.308813844,-0.0205,0.7847,0.5426
27.309106396,-0.0203,0.7881,0.5455
27.309381396,-0.0208,0.7927,0.5506
27.309649157,-0.0217,0.7969,0.5565
27.30991749,-0.0217,0.8001,0.5602
27.313869834,-0.0217,0.8015,0.5641
27.314585615,-0.0215,0.8035,0.5685
27.318742177,-0.0203,0.8062,0.5712
27.319200459,-0.0171,0.8064,0.5743
27.321333792,-0.0134,0.8072,0.5797
27.324410459,-0.0105,0.8089,0.5851
27.327121865,-0.0090,0.8098,0.5907
27.328994938,-0.0088,0.8106,0.5968
27.331900302,-0.0090,0.8120,0.6022
27.334030407,-0.0090,0.8118,0.6095
27.33575973,-0.0090,0.8098,0.6166
27.338705042,-0.0105,0.8079,0.6232
27.341776761,-0.0129,0.8069,0.6303
27.344233115,-0.0147,0.8064,0.6349
27.346230302,-0.0164,0.8047,0.6403
27.349231084,-0.0171,0.8025,0.6449
27.350401396,-0.0159,0.8010,0.6501
27.353165355,-0.0151,0.8001,0.6589
27.355684417,-0.0127,0.7993,0.6694
27.35809999,-0.0088,0.8003,0.6818
27.361400927,-0.0066,0.8020,0.6940
27.362067386,-0.0061,0.8035,0.7058
27.365795875,-0.0056,0.8054,0.7187
27.367368011,-0.0061,0.8081,0.7317
27.370226709,-0.0068,0.8106,0.7424
27.372343167,-0.0076,0.8142,0.7529
27.374747282,-0.0083,0.8164,0.7644
27.382152438,-0.0100,0.8191,0.7759
27.38286874,-0.0120,0.8255,0.7864
27.383119834,-0.0142,0.8299,0.7944
27.385967125,-0.0183,0.8335,0.8020
27.386421136,-0.0205,0.8379,0.8116
27.392047021,-0.0220,0.8440,0.8206
27.392859052,-0.0254,0.8509,0.8279
27.405502698,-0.0288,0.8570,0.8330
27.406601969,-0.0344,0.8638,0.8379
27.406944677,-0.0418,0.8680,0.8436
27.407245823,-0.0469,0.8709,0.8460
27.40753525,-0.0518,0.8746,0.8448
27.407903636,-0.0557,0.8763,0.8448
27.408283427,-0.0599,0.8785,0.8443
27.411275719,-0.0635,0.8817,0.8418
27.412349677,-0.0662,0.8829,0.8406
27.415808167,-0.0689,0.8831,0.8379
27.41756624,-0.0694,0.8839,0.8343
27.419732334,-0.0682,0.8863,0.8301
27.422072438,-0.0684,0.8897,0.8267
27.424802907,-0.0684,0.8917,0.8250
27.428300094,-0.0662,0.8922,0.8201
27.43016874,-0.0645,0.8939,0.8133
27.432377698,-0.0618,0.8973,0.8072
27.434944886,-0.0579,0.8980,0.8045
27.436600354,-0.0555,0.8953,0.8047
27.439853011,-0.0515,0.8900,0.8047
27.442212854,-0.0457,0.8826,0.8042
27.444481032,-0.0388,0.8738,0.8035
27.447946448,-0.0327,0.8641,0.8030
27.448482542,-0.0271,0.8548,0.8050
27.451391865,-0.0181,0.8445,0.8076
27.453981136,-0.0081,0.8338,0.8113
27.456372907,0.0002,0.8225,0.8186
27.458949886,0.0083,0.8094,0.8277
27.461454157,0.0161,0.7954,0.8370
27.463837334,0.0227,0.7813,0.8480
27.465519886,0.0269,0.7664,0.8614
27.46795874,0.0291,0.7537,0.8743
27.470938532,0.0315,0.7422,0.8878
27.473085511,0.0322,0.7326,0.9015
27.475863375,0.0303,0.7273,0.9159
27.481889365,0.0271,0.7226,0.9288
27.482596032,0.0237,0.7168,0.9396
27.483000875,0.0191,0.7131,0.9493
27.484830459,0.0137,0.7114,0.9574
27.487112386,0.0090,0.7104,0.9620
27.489177698,0.0049,0.7109,0.9652
27.492219886,-0.0007,0.7111,0.9677
27.516833844,-0.0037,0.7109,0.9681
27.517994677,-0.0044,0.7116,0.9686
27.518337229,-0.0061,0.7131,0.9725
27.518681552,-0.0083,0.7133,0.9774
27.519045511,-0.0105,0.7121,0.9801
27.51936025,-0.0151,0.7099,0.9799
27.519664209,-0.0200,0.7111,0.9794
27.519988115,-0.0208,0.7131,0.9811
27.520297594,-0.0198,0.7141,0.9835
27.520607698,-0.0169,0.7146,0.9840
27.520900615,-0.0134,0.7136,0.9850
27.521204,-0.0100,0.7131,0.9860
27.523324625,-0.0042,0.7143,0.9877
27.525487698,0.0024,0.7133,0.9911
27.527842386,0.0100,0.7109,0.9926
27.530711917,0.0176,0.7075,0.9928
27.534087021,0.0239,0.7033,0.9931
27.535144,0.0298,0.6982,0.9962
27.537985875,0.0369,0.6918,1.0004
27.539736448,0.0450,0.6865,1.0026
27.542559157,0.0513,0.6791,1.0045
27.544850094,0.0559,0.6691,1.0043
27.547544521,0.0608,0.6596,1.0014
27.550178427,0.0657,0.6493,0.9967
27.5517215,0.0701,0.6381,0.9938
27.554807907,0.0708,0.6286,0.9896
27.556975459,0.0704,0.6212,0.9830
27.560124625,0.0726,0.6159,0.9767
27.562560042,0.0740,0.6095,0.9674
27.564520459,0.0740,0.6056,0.9584
27.566291292,0.0774,0.6056,0.9486
27.569563479,0.0833,0.6068,0.9376
27.571554625,0.0892,0.6081,0.9264
27.573771344,0.0941,0.6076,0.9112
27.576210146,0.0975,0.6085,0.8956
27.582378532,0.0994,0.6115,0.8812
27.583078584,0.1019,0.6161,0.8658
27.583422073,0.1058,0.6234,0.8504
27.585270667,0.1094,0.6313,0.8345
27.596533688,0.1136,0.6374,0.8184
27.59745499,0.1173,0.6427,0.8010
27.597921969,0.1204,0.6488,0.7839
27.598272854,0.1243,0.6564,0.7688
27.613210563,0.1258,0.6638,0.7551
27.614293323,0.1268,0.6708,0.7417
27.614655979,0.1270,0.6782,0.7275
27.614979782,0.1263,0.6848,0.7126
27.615287386,0.1241,0.6901,0.6938
27.615604313,0.1224,0.6950,0.6760
27.6159165,0.1241,0.7009,0.6616
27.616230563,0.1246,0.7050,0.6469
27.616546032,0.1246,0.7116,0.6315
27.620018479,0.1229,0.7195,0.6176
27.621839469,0.1192,0.7241,0.6046
27.624098063,0.1170,0.7260,0.5907
27.626479886,0.1134,0.7273,0.5765
27.628990875,0.1077,0.7295,0.5653
27.631729625,0.0999,0.7285,0.5541
27.633827282,0.0901,0.7268,0.5453
27.635599834,0.0811,0.7253,0.5394
27.639039052,0.0704,0.7243,0.5379
27.641563896,0.0601,0.7241,0.5377
27.643369209,0.0540,0.7258,0.5277
27.645760563,0.0420,0.7309,0.5367
27.648266604,0.0410,0.7260,0.5572
27.650790198,0.0572,0.7133,0.5340
27.652518115,0.0667,0.7041,0.4937
27.654989156,0.0667,0.6928,0.4749
27.657691761,0.0628,0.6816,0.4617
27.66213124,0.0579,0.6718,0.4495
27.662733271,0.0537,0.6623,0.4454
27.664820354,0.0506,0.6545,0.4434
27.666851292,0.0459,0.6493,0.4475
27.669957594,0.0354,0.6476,0.4617
27.67216374,0.0247,0.6471,0.4776
27.674486969,0.0191,0.6457,0.4908
27.682658427,0.0154,0.6423,0.4996
27.683442906,0.0139,0.6386,0.5047
27.683765459,0.0132,0.6357,0.5074
27.684096292,0.0112,0.6310,0.5101
27.686058063,0.0090,0.6244,0.5113
27.688930667,0.0064,0.6181,0.5111
27.692056292,0.0037,0.6129,0.5113
27.71916275,0.0017,0.6071,0.5111
27.720329781,0.0029,0.5993,0.5111
27.720692802,0.0059,0.5956,0.5135
27.72102999,0.0078,0.5939,0.5167
27.721353115,0.0095,0.5919,0.5201
27.721669209,0.0134,0.5922,0.5252
27.721979052,0.0159,0.5924,0.5296
27.722273167,0.0169,0.5944,0.5333
27.722583688,0.0188,0.5968,0.5362
27.722895354,0.0203,0.5997,0.5377
27.723364313,0.0213,0.6032,0.5375
27.723691136,0.0213,0.6046,0.5357
27.724069,0.0220,0.6054,0.5343
27.724373896,0.0235,0.6066,0.5323
27.726896344,0.0247,0.6078,0.5296
27.729389261,0.0257,0.6095,0.5260
27.73220275,0.0286,0.6127,0.5216
27.735152542,0.0325,0.6156,0.5167
27.736355563,0.0349,0.6193,0.5123
27.739151552,0.0369,0.6247,0.5094
27.7424015,0.0379,0.6305,0.5052
27.744752125,0.0381,0.6364,0.5003
27.746936292,0.0386,0.6420,0.4957
27.749231344,0.0388,0.6481,0.4893
27.751488584,0.0398,0.6540,0.4839
27.753104209,0.0381,0.6594,0.4793
27.756110459,0.0364,0.6640,0.4730
27.758473375,0.0335,0.6672,0.4659
27.762206448,0.0293,0.6694,0.4590
27.762853115,0.0254,0.6721,0.4515
27.765272542,0.0215,0.6745,0.4436
27.767261813,0.0164,0.6774,0.4370
27.770562802,0.0095,0.6811,0.4292
27.772875615,0.0034,0.6838,0.4224
27.775576292,-0.0010,0.6867,0.4175
27.781609209,-0.0046,0.6887,0.4114
27.782336136,-0.0095,0.6901,0.4048
27.782661761,-0.0149,0.6921,0.3987
27.784381031,-0.0198,0.6948,0.3945
27.795733167,-0.0249,0.6960,0.3897
27.796428011,-0.0296,0.6962,0.3853
27.796713115,-0.0322,0.6980,0.3833
27.796989834,-0.0344,0.6994,0.3833
27.797258115,-0.0366,0.7019,0.3848
27.816840146,-0.0396,0.7043,0.3879
27.818015354,-0.0428,0.7065,0.3909
27.818375042,-0.0464,0.7089,0.3931
27.818985511,-0.0498,0.7107,0.3965
27.81933275,-0.0528,0.7124,0.4014
27.819698844,-0.0559,0.7131,0.4058
27.820006917,-0.0591,0.7153,0.4085
27.820312698,-0.0613,0.7170,0.4124
27.820611344,-0.0625,0.7175,0.4151
27.820909417,-0.0642,0.7199,0.4187
27.823417334,-0.0662,0.7216,0.4229
27.82572999,-0.0691,0.7231,0.4273
27.827603427,-0.0713,0.7253,0.4329
27.830872854,-0.0726,0.7265,0.4373
27.833725979,-0.0733,0.7270,0.4434
27.834828063,-0.0740,0.7278,0.4507
27.836893323,-0.0760,0.7270,0.4588
27.840505615,-0.0760,0.7273,0.4676
27.84276775,-0.0777,0.7282,0.4776
27.845112542,-0.0799,0.7307,0.4896
27.847406188,-0.0809,0.7336,0.5025
27.850613792,-0.0828,0.7339,0.5150
27.851022854,-0.0828,0.7351,0.5274
27.853936084,-0.0821,0.7370,0.5387
27.856798063,-0.0818,0.7385,0.5492
27.860048792,-0.0814,0.7409,0.5633
27.862632125,-0.0804,0.7446,0.5758
27.863357854,-0.0801,0.7468,0.5851
27.867232959,-0.0804,0.7480,0.5944
27.867869886,-0.0811,0.7502,0.6029
